original_hm,target
I was told I get an extra week of vacation this year.,achievement
My husband left for Army reserves drill this morning before I was awake. He left a sticky note on my computer screen telling me to have a good day and that he loved me.,affection
Relaxing on a Saturday evening made me happy,enjoy_the_moment
I defined a better fitness goal.,exercise
"After saving up for a couple of months, I was able to purchase a fishing rod and reel that I've wanted for about a year.",achievement
Purchased a Bicycle for exercising and keep my body fit.,exercise
Baseball season started again.,enjoy_the_moment
Seeing the new Power Rangers movies because it brought back so many feelings.,leisure
My long-distance boyfriend told me he would be able to visit me this weekend.,affection
"After checking Craig's List and the local want ads for a couple weeks, there are kittens available to adopt!",achievement
"It's never about the place. It's about the people you spend time with. I have never been much happier. Whenever I went to Tirupati and was traveling back to Bangalore, I felt like I had failed my most important exam, maybe I was missing a train. I cried like a small baby every time I left that place. This time it was different, this time I was happy. I was myself, my true self. Peace!",enjoy_the_moment
It was last month in my institution we celebrated the year closing ceremony that is farewell every body used to share their memories filled with happiness in that function my junior expressed his feelings in different way from the day how he entered and to the still moment he projected through video clips which are taken without any body knowledge the video conveys how the person behaved to him by seeing the video every body shouted and screamed with great happiness the whole place filled with complete happiness.,enjoy_the_moment
My roommate brought me home free food from the restaurant that he works at.,bonding
I paid off a $5000 bill.,achievement
"The happiest people in the world are those who feel absolutely terrific about themselves, and this is the natural outgrowth of accepting total responsibility for every part of their life.",enjoy_the_moment
Helping my friend save his pool full of koi when a weedwacker tore through the bottom.,bonding
"Exercise has such a profound effect on our happiness and well-being that itas actually been proven to be an effective strategy for overcoming depression. In a study cited in Shawn Achoras book, The Happiness Advantage 1, three groups of patients treated their depression with either medication, exercise, or a combination of the two. The results of this study really surprised me",exercise
My nephew started saying my name for the first time.,affection
A dog we've been pet sitting finally relaxed and started playing and cuddling. ,affection
When I got a interview for a job I really want. ,achievement
I was able to use my health knowledge when I volunteered for a health group as their guest speaker. ,achievement
One event that made me happy recently was going out to an impromptu dinner with my family. We got to spend quality time together and also shared a meal. My husband and I are busy so it was nice to relax at a restaurant with our son. We talked and laughed and enjoyed each other's company. ,affection
MY BROTHER BIRTHDAY CELEBRATED IN MY HOUSE,affection
"India is a land of festivals. There are many festivals. For the rituals of the festival one has to get up early in the morning. I also Got up early in the morning today. After daily routine i.e toothbrush, bath etc. I got ready for the rituals of the festival. It gives lot of pleasure in doing all these rituals. They keep your mind fresh. and give inner strength. Its a real HAPPY Moment. ",enjoy_the_moment
I watched Golden Girls all afternoon.,leisure
Yesterday in the mail I received the Gil Hodges rookie card I bought on eBay last week.,achievement
Laughing so hard when telling a story you can barely make it to the end.When you've finished a really good book and you just put it down on your lap and stare into space for a couple minutes because you need to collect yourself and return to reality.Surprises. Good surprises.,leisure
My grandmother had a vacation in our house for two weeks.,affection
yesterday my birthday celebration get together to all over friends celebration for this happiest  moment,bonding
"Then we next to forest areas.Rivers,Forest animals and other animals,snakes and etc.",nature
My fiance made me an egg sandwich this morning.,affection
yesterday we had a potluck in our office and it was super fun.,bonding
I caught a lot of easy tasks on the Mechanical Turk platform and made enough money to buy food for a couple more days.,achievement
Seeing my friend for dinner after not seeing her for a month.,bonding
"I taught my son how to tie his shoelaces, and he was able to do it!",affection
I made a coffee table for my new apartment. I took wood crates and varnished them and drilled them together. It came out beautiful. ,achievement
We had a picknick in a park with my family three days ago. ,affection
My husband really enjoyed the dinner that I made for him.,affection
"I had a great workout at the gym, I trained my back",exercise
Got another huge blessing today of money for groceries that will definitely help us!,achievement
When I finished finals for this semester.  It was such a relief.  ,achievement
i go to oldage home and service enjoy the moment.,enjoy_the_moment
My girlfriend completed her inscription to her last semester of Mechanical Engineering.,affection
"My teammate has returned to work, which is helping me to accomplish all of our team goals, much faster and more efficiently. ",bonding
I completed one section of a report that i had been working on for a week.,achievement
I was able to get the Monroe piercing that I had wanted for the last year.,achievement
"Last month I won a daily fantasy baseball tournament for $8,000, which has been my biggest score since having started daily fantasy sports.",achievement
I was able to plan and execute a great dinner last night. I even had some dessert to go with. ,achievement
I bought a new professional grade mower.,achievement
"My Dad is picking up the boy from his last day of school tomorrow and they are going to have a ""manly lunch date"".",affection
I was happy when I received gifts from my sister just for the sake of giving.,affection
MY COUSIN BROTHER GOT STATE 7TH RANK IN INTERMEDIATE SO I AM HAPPY THAT,affection
It started to pour down rain and storm,nature
Hubby and I had a delicious lunch and a lovely hour together.,affection
Yesterday went to bahubali2 movie.,leisure
I watched an episode of my favorite TV show.,leisure
i love to enjoy with drive my new car. its make  more happy.,enjoy_the_moment
Watching my young sons (ages 6 and 4) doing sidewalk chalk drawings on our front porch while they waited for the ice cream truck to drive by so they could buy Popsicles. ,affection
"I moved into my boyfriend's house and hated the decor and the fact that nothing was updated or decorated. I have been working hard to slowly update and decorate and now that I am done and have bought new furniture, I am so happy with the results and much more happy with the house overall. ",affection
I was told that I wouldn't have to serve jury duty and that I fulfilled everything required of me at the courthouse.,achievement
I sold things at a garage sale for the first time of the season.,achievement
Emmanuel Macron beat Marine Le Pen in the French presidential election,achievement
While watching TV my youngest son climbed up in my lap . While he cared less about the show he just wanted to be with me.,affection
MY BOY FRIEND LOVE FEELINGS ,affection
My cat started to get better.,affection
"My happiest moment was when I gave birth to my son. After
nine long months of waiting to meet him, at last that day
came. I was just so happy, and its unexplainable!",affection
I was happy when I was able to settle a debt that has been hanging over my head for sometime.  I was able to make a call and strike a deal that actually lowered my debt.  This made me really happy because I will be free from my debt and I got it for a lower price.,achievement
I got for wheeler driving licence.,achievement
I GONE JOLLY TRIP WITH MY COUSIN THE LAST WEEK.THAT MOVEMENT MAKE ME A HAPPY,affection
"First time we took our son in public transport , a bus and he was so excited.",affection
I had fun going on a date with my wife out to dinner and then shopping while our kids were babysat.,affection
I didn't have to work for a whole week when I went on vacation.,leisure
I got to see a good friend of mine again as he passed through town and we got caught up.,bonding
in last month we are traveled from Hyderabad to Goa with my friends that time we are enjoy  a lot with my friends and we dinner at top famous five star hotel.,bonding
I met my former professor and some former colleagues at a local beach and watched the fireworks with them in a spectacular show.,bonding
I watched my sister graduate from her undergraduate program yesterday. ,affection
"I submitted a piece of my design work to an exhibition in Japan, and I was informed this morning that they have accepted my submission.",achievement
"After meeting with the judge for my divorce hearing, my divorce was finally final.",achievement
Last week am Went from Goa Trip With my friends that time we enjoy a lot with my friends.its very memorable day in my life.,bonding
"the happiest moment in my life
the happiest moment in my life is when
im with someone special,shes been in my life
for almost 6years.whenever im with her i felt
complete,yes it may sounds weird but it is true.",affection
I fit into my little black dress from college,achievement
Cleaned the garage out.,achievement
"My happiest moment was when I gave birth to my son. After
nine long months of waiting to meet him, at last that day
came. I was just so happy, and its unexplainable",affection
Performing well at an online game and helping my team win.,achievement
i made over 30.00 in one day on mtruk.,achievement
I passed my exit exam in nursing school two weeks ago.,achievement
I had strawberries with my breakfast and none of them were bad. It's so rare to get an entire container of strawberries in which they are all good.,enjoy_the_moment
i got a girlfriend,achievement
My husband felt our baby kick for the first time yesterday. ,affection
My favorite soccer team won yesterday to secure a spot in the semi-finals of Champions League (Juventus),enjoy_the_moment
Meeting my sister afer long time,affection
I watched a family movie with my kids.,affection
having steaks for dinner. ,enjoy_the_moment
The wind finally quit blowing.,nature
I purchased a new laptop which is helping to do my projects more efficiently and I am happy.,achievement
husband recovering after sudden serious illness,affection
I WENT TO MOVIE,leisure
I played basketball at my local park just a few minutes away from my house.,leisure
I found oreos on sale for a dollar which was exciting. My family was excited to have so many cookies in the house. ,affection
I HAD HELPED A CHILD TO DRAW A PICTURE.,bonding
I did grocery shopping and was in awe with the fresh vegetables that are now in season.,enjoy_the_moment
Helping my mother prepare Easter dinner for our family.,affection
"I woke up to news this morning that Democrats might be able to block the potential Supreme Court nominee, which was a pleasant shock to me.",enjoy_the_moment
"When somebody compliments me sincerely on my work, I felt proud and successful.",achievement
I won a competition that I wasn't expecting to win.,achievement
"My new drill arrived via UPS yesterday. I have wanted an 18v cordless Bosh drill for YEARS and finally got it yesterday. Previously I could never justify the price since I already have a cordless drill, but by saving gift cards and watching out for sales I was finally able to purchase one through Sears. It made me happy because it cost me almost nothing out-of-pocket and I finally have something I want. I waited for the battery to charge, grabbed some scrap wood and drill bits, and when it was finally charged I gave it a test. It is exactly what I wanted and waiting as long as I have for it makes it that much better.",enjoy_the_moment
My mother gift me a golden chain on my birthday its a happiest moment for me.,affection
"I found out I was pregnant when I took a home pregnancy test and had my results concerned at the doctor through a blood test. I had been trying to get pregnant and had never gotten pregnant so quickly. Before it had involved several months of trying and finally conception through a fertility clinic, so it was an amazing feeling to conceive naturally. ",achievement
My daughter slept through the night for the second time since being born!,affection
"When we returned from the beach,we went to a restaurant for having the dinner.",leisure
I went to New Orleans with my best friend.,bonding
I love watch movies with my wife in my bedroom ,affection
I woke up this morning to birds chirping.,nature
I got housework done.,achievement
When I made an impromptu visit to my friend's house to watch a concert dvd.,bonding
I WENT TO MOVIE,leisure
Went to the beach and looked for seaglass with my daughters one sunday.,affection
"I was able to get my house spotless today because my mother was in town to watch my boys, so I had lots of free time.",affection
"In a thousand ways they have turned my limitations into beautiful privileges, and enabled me to walk serene and happy in the shadow cast by my deprivation.",achievement
Laughing so hard when telling a story I can barely make it to the end.When I've finished a really good book and I just put it down on my lap and stare into space for a couple minutes because I need to collect myself and return to reality.,achievement
MY BEST FRIEND MARRIAGE PARTY,bonding
I bought a car that I had dreamed of since I was a kid,achievement
I stepped out of my comfort zone and made a new friend.,bonding
very happy to life to enjoy the   life to contain the result,enjoy_the_moment
MY COLLEGE 1ST INAGUARATION FUNCTION,achievement
It was my girlfriend's birthday and it was very nice to see her open the presents and be happy about them.,affection
I bought a coworker a brownie and it seemed to make her afternoon.,bonding
I WENT TO MOVIE,leisure
"Less than a week after the International Olympic Committee added three new swimming events to the Olympic program, Michael Phelps made ...This attendance number is off the 2015 show by about 1,000 people, he said, but organizers and exhibitors were both happy with how the show ...",enjoy_the_moment
I WENT TO COMPUTER CLASS.,achievement
"When I am getting ready to go to my office, My parents send off with cute smile and say ""Have a nice day and Take care""",affection
"I was able to get my hair cut, colored and straightened after work.",achievement
My cat with renal failure ate better than usual yesterday.,affection
MY HUSBAND GAVE A KISS TO ME.,affection
I found a favorite snack was on sale at the store.,achievement
I WEND TO SHOPPING,leisure
"I won a prize at work, and got a free Go Pro.",achievement
I gave one of our sick cats an appetite stimulant pill and it almost immediately helped her regain some strength and starting acting a bit more normal.,affection
I am happy that I am drinking coffee right now because I had a long day.,enjoy_the_moment
"When someone from a bigger professional background appreciated me on my promotion recently. Being a geek, not being emotional person; this event is so close to my heart.",achievement
"I paid off one of my student loans. It was awesome as it was one less debt that I had to worry about. I felt as though since I paid this one off, the other one shouldn't be to bad to pay off as well. I was happy that I stuck with it and able to keep a little more in my pocket without it going back out.",achievement
"WE ENJOYED TO GO MERRY GROUND,GIANT WHEELS,DORA DORA,COLUMBUS ETC.. ON GOING THESE MERRY GROUND WE WERE SHOUTING ALOUD AS MUCH AS POSSIBLE THAT MOMENT MADE ME VERY BLISSFUL.",enjoy_the_moment
Seeing the results of my hard work from dieting paying off.,achievement
I got paid this morning.,achievement
I took my dog on a drive around town and she seemed really happy about it.,affection
"I took a short trip to my favorite bakery last night, and bought myself fresh cinnamon rolls.",enjoy_the_moment
Last month I went to a vacation with family to Miami. We had a great time there. We enjoyed a lot and it was one of the best experience. I enjoyed a lot as well as kids enjoyed a lot.,affection
I got to see my aunt on a visit last week after a long time apart.,affection
I finished applying to jobs on indeed that I was interested in.,achievement
I bought an awesome new vacuum that really cleans so well!,achievement
I went shopping and splurged on myself and children.,affection
Seeing my grandparents again for the holidays,affection
In the past 24 hour I had kept my fashion designing exhibition n I sold many dress in that exhibition.i am so happy to get such a nice response ,achievement
Me and my daughter saw two men trying to load a trailer into the back of a truck. We were laughing and it was so fun for us to be together and laugh at something.,affection
"I was having lunch with my family. Since my childhood we have a pattern in our home, first everybody at our home has lunch while my mother serves and while we are on our last Roti she too joins with her plate.I was little extra hungry. She had just joined with her plate along with my sister. I asked her for Roti. She said ""Wait I am making one for you"" and she left her seat.I held her hand and said, ""Mumma! I am in some cooking mood. You have food, I will make a roti for me"". She said, ""Why will you work in kitchen while I am here?""I said, ""I want to make a roti"" and I left my seat. Sister popped up saying, ""Have this roti from mummy's plate, complete your lunch and then make a roti for mumma.""I said, ""Well! You are falling for a dangerous act.Hahahahah."" I completed my lunch and started with roti, This was it! Previously I have cooked many times, but only for me. This was the first time I cooked for mother.I made a roti and served it to mother. She made 3 parts of it, one for my sister, one for my father and one for herself. They all had their parts and I was observing them with suspense about comments.Sister chuckled, Your wife is lucky, you can feed her deliciously. Father giggled, Your Gf must have said you to learn cooking this morning.Mother was little emotional, she said, My son has grown up. Roti is sweet! She was happy. Everyone was happy.It made me happy.",affection
My five-year old daughter read to me aloud in the car yesterday.  She is just learning to read and her two upper front baby teeth are missing so the story was more amusing than it otherwise would have been.,affection
I Ate a tasty dinner.,enjoy_the_moment
My son scored good marks in first assessment.,affection
"My Friday class got cancelled, giving me a three day weekend.",enjoy_the_moment
I went to Shopping Mall and purchased many things.,leisure
"5 weeks ago I was able to buy my brother the new Wii U game: Zelda breath of the wild, see him happy made me very happy",affection
MY FRIEND MARRIAGE PARTY ,bonding
A new episode of my favorite podcasts came out today.,leisure
A dispute at work was ruled in my favor.,achievement
Friend bought a bike so he ride me,bonding
Earlier today i got the call that i will be taking over one of my coworkers shifts next week so now tomorrow is going to finally be my day off to relax.,achievement
I was happy to see that my morning meeting was cancelled today.,enjoy_the_moment
I made whole wheat pancakes.,achievement
"Yesterday, my roommate's two year old started trying to say my name.",bonding
I made plans to travel in a couple of weeks.,leisure
My 5 year old daughter had her preschool graduation ceremony. ,affection
"My happiest moment was when I gave birth to my son. After
nine long months of waiting to meet him, at last that day
came. I was just so happy, and its unexplainable",affection
I texted with my spouse who is travelling in another country.,affection
We got free barbecue for lunch!,enjoy_the_moment
" Before   one month   when i got my job ,i have lot of happy , because   this is first job in my life  so i feel very happy.....",achievement
"When i got the ticket to visit live cricket match at Bangalore. On that time, I met cheer girls and i enjoyed their dance. I had a fun a lot on that day.",enjoy_the_moment
I met my old friend.,bonding
My teenage daughter finished her hardest exams to complete her junior year of high school and she was very talkative to me about it.,affection
A guest shook my hand and thanked me for my service.,bonding
When i woke my son up this morning he had the craziest hair. I told him it was crazy so he ran to a mirror and then turned around with a look of shock. He is only four.,affection
"I'm going through a rough time in my life now, I was surfing youtube and found a lady reading tarot cards for Pisces(my sign), her voice and her outlook was positive so it made me happy.",enjoy_the_moment
"I went on a vacation with my children for the first time ever, it was amazing!",affection
I had a phone call with some old friends ,bonding
I love play Soccer in the Stadium with my Friends,bonding
A friend of mine came to visit. It had been a while since I saw her and really needed her comfort and company. Her visit made me feel happy while she was here.,bonding
I finally had a chance to talk about some things that were really bothering me with a good friend.,bonding
MY FAMILY VISITED TO ARIYAMAN BEACH NEAR RAMANATHAPURAM,affection
"One thing that made me happy yesterday was taking a walk with my husband and dog. It was nice to wind down after a long day at work, enjoy the outdoors and each others company.",affection
"my life in my husband sex is well good day in my life dailly sex in my life varry varry enjing my life in My mom used to come home from school and spontaneously bake once in a while. Cookies, cake or whatever, but my sister and I would get to lick the beaters and bowl. in ,my life in weold ",affection
I went to Cold Stone and I haven't been there for a really long time.  The ice cream was surprisingly good and barely melted.,leisure
I went on a romantic candle light dinner with my girlfriend and we spent quality time together.,affection
My wife and I recently exercised with each other and had a great time.,affection
I was able to spend the evening with a good friend over the internet.,bonding
I've reached a new threshold in my weight loss.,achievement
I helped a patient with all of their upcoming appointments and they thanked me by baking me some baked goods.,achievement
We celebrated our kids  birthday with all our friends and relatives and had a good time.,affection
"my life my family has been very involved in spiritual practices. Finding my own spirituality and developping it has become a priority. It's almost a life project. I can often manifest feelings of incredible happiness within me, just when I think of the world and realize the way it is, and realize I am happy to be consciouss of the way things are.",affection
I was happy that I had a few drinks of beer today.,leisure
"Finding a quart of my favorite ice cream in a clearance freezer and I got both of them. It's a pricey ice cream, and not on sale too often. It was so exciting!  Took me over two weeks to finish them, and it was sheer joy.",enjoy_the_moment
I bought some sweet strawberries today.  The strawberries were large and so tasteful.  ,enjoy_the_moment
Purchased a washing machine for washing my clothes.,achievement
"We had good friends over for dinner last night and had a great time eating with them and just sitting and talking for a couple of hours, catching up on each others' lives. ",bonding
MY  BEST FRIEND MARRIAGE PARTY ,bonding
The pasta was liked by family,affection
My wife and I went to the doctor and we saw an ultrasound of our baby girl.,affection
Laughing so hard when telling a story I can barely make it to the end.When I've finished a really good book and I just put it down on my lap and stare into space for a couple minutes because I need to collect myself and return to reality.,achievement
Received an unexpected bonus.,achievement
"My wife got a new job at the hospital, which makes us both happy because we can increase our savings. ",affection
"My office annul day function. I am participant the dancing program get the first price in the function.
i am very really happy and enjoyed the function.",achievement
I had a busy day at work this morning and made a lot of money.,achievement
I went to Philadelphia for an evening to visit a woman I met on a dating site and we spent a very pleasant evening together listening to music and talking.,bonding
Hearing that a special prosecutor was hired to investigate the Russia/Trump ties made me happy today.  I was ecstatic to hear that action is finally being taken!,enjoy_the_moment
"I was entrusted with a big, important, new task at work, which made me feel like I was doing a good job with the rest of my portfolio.",achievement
I colored my hair with a new hair color and it turned out to be a good color for me!,achievement
My girlfriend is bringing pizza home for lunch.,affection
Today my gym buddy and I both stayed on the elliptical for 25 minutes (we started at 10 minutes).,exercise
enjoy with family,affection
"I went on a date with a girl that I really like. We hit if off fantastically. She's super attractive and out geeks me. We made out a bunch and I think it's got potential.I've noticed improvements to my body from regular exercise.I'm on holiday and able to sleep in.Feels good man.Talked to and hung out with my best friend today, which was pretty sublime.",affection
I received a work bonus for completing my goal by my deadline.  ,achievement
Riding the Shock Wave with VR glasses at Six Flags.,leisure
Made a nice dinner. ,achievement
When I went out of time and met up with others for the firs time attending an event.,leisure
I watched a movie with my roommates. ,bonding
I went on a week-long vacation to visit an old friend.,bonding
I got paid pretty nicely for some freelance writing work I happened to pick up on Craigslist.,achievement
I was told that i am getting a new job making more money.,achievement
This outdoor cat I've been letting sit on my lap purred when I leaned down to hug it.,affection
I WANT TO SHOPPING,leisure
My wife cooked lunch for me.,affection
I recently bought a Nintendo Switch.  I had a lot of fun playing it.,leisure
My friend is making great decisions in her life and is set to start a new healthy lifestyle,bonding
"I was happy when I cooked a new recipe, and it was a big hit.  ",achievement
Sunday I stayed in bed most of the day watching netflix with my boyfriend and just relaxing until the afternoon,affection
My mother gave me a generous gift to help me with some of my expenses.,affection
I made plans to hang out with a friend.,bonding
"I spent time by myself at the mall, doing shopping and people watching. It is nice to have 'me-time' once in a while!",leisure
I taught my friend about synthesizers.,bonding
I had a really good feeling workout at the gym.,exercise
I was happy this weekend when I finished watching season 2 of Master of None.,leisure
My son  got  1st prize for proficiency in his school annual day programme.,affection
I've lost 10 pounds in the last week!,achievement
I got the news that my mom is going to try to visit for my first mothers day next month!,affection
My kids had a good time at their grandma's house and didn't act like psychopaths.,affection
Everyday I wake up I'm truly happy because I know some people didn't wake up to enjoy this blessing,enjoy_the_moment
I was able to visit my brother who has a medical condition.,affection
I WENT TO MY BROTHER'S MARRIAGE CELEBRATION,affection
when my son is playing alone in the room.,affection
I discovered a new to me TV series to binge watch and still have at least a week's more viewing. ,leisure
I cooked dinner for my friends.,bonding
"We went to my sister in law birthday function, we gifted her mobile, she was surprised and we all had happy moments.",affection
Going to the store to get something to eat for my new friend that rolled up on the scene looking for a friend. She crossed the on ramp all by herself and she's a kind little giant.,bonding
I received word that I would receive a job offer.,achievement
I got to spend time with my dad's family. We sat outside in the rain and roasted hotdogs over a bonfire.,affection
I loved seeing the joy on my daughter's face when I picked her up from daycare.,affection
Promotion board at work.,achievement
I spent a good amount of time on mobile games.,leisure
"I found a cool denim jacket and I bought it. It's very soft, looks nice, and was a good price! I'm glad I found it. ",achievement
It felt good to see my friend's new puppy.,enjoy_the_moment
I was playing an online competitive videogame and I won the match.,leisure
Help my mom clean up the yard. ,affection
"Arrived home to the aroma of roast chicken, and if anything the anticipation is just as good as the dinner itself. It tasted great as well.",enjoy_the_moment
My boyfriend helped me clean the apartment and we got a lot done.,affection
I bought a new chair for my living room.,achievement
"the happiest movement is change to person to person and time
to time, as far as regarding my happiest movement is
concerned when i completed my high school, it is definitely
an unforgettable movement for me all my family members was
waiting my result, it was just momentum movement",affection
I visiting family in Florida for a week.,affection
In the last 24 hours I have felt happiness snuggling up to my daughter while we slept.,affection
"I was there when my niece took her first steps, about two months ago. I got to held her hand as she was learning to walk.",affection
I cleaned my house.,achievement
"My girlfriend and I got to relax once my stepson was asleep, was great to see her finally get to unwind with Greys Anatomy.",affection
Connecting with my estranged partner after not being on the same page for a while,bonding
I found out my friend is following his dreams.,bonding
I was able to finally figure out what to do post graduation.,achievement
My happiest moment everyday my mom say bye to me when i get ready to go somewhere,affection
We went on vacation last week and took our grandson for the first time.  ,affection
Snapchatting a girl,bonding
My pet greets me when I come home,affection
I heard from all 3 of my children on mother's day.,affection
My son born and I got an excitement of foreign tour,affection
I listened to 90's R&B music on Pandora which is my favorite era.,leisure
"the happiest moment in my life
the happiest moment in my life is when
im with someone special,shes been in my life
for almost 6years.whenever im with her i felt
complete,yes it may sounds weird but it is true.",affection
I was happy when my friends got home,bonding
When my wife buying a new brand clothes for me,affection
I watched my girlfriend's stepbrother at swim practice.,affection
My wife made dinner without me asking,affection
yesterday my son ride my bike its made me happy,affection
One of my old friend invited me to join a small get together party with our old friends. We joined together and shared our old moments which really makes me relaxed and so happy. ,bonding
i was really happy when i had a chance to run with my friends,bonding
"
Daughter committed to a college.",affection
My daughter had a large turnout at her birthday party.,affection
I WAS VERY HAPPY AFTER THE PURCHASE OF MY CAR ON LAST MONTH.,achievement
My wife brought me the traditional white chocolate Easter bunny a day after Easter.,affection
Coffee is wonderful with cream and sugar,leisure
I was able to go out and spend an evening with my 11 year old and shop for a few hours as well as enjoy a dinner with her. My 11 year old had been out of town for just over a week and I had really been looking forward to seeing her. ,affection
"My sister and I walked around our neighborhood for a full mile and a half yesterday. We were talking about life and our futures so the time just flew by, and we got a great exercise.",affection
Talked to my mom,affection
I celebrated the cinco de mayo with friends.,bonding
"I found a neat place for the trip we're going on next week that lets you get a 5-star restaurant experience for regular restaurant prices, because it's run by students as part of a teaching kitchen - super cool!",leisure
I was able to get together for drinks with a group of friends from out of town who I hadn't seen in some time. ,bonding
"I completed a 2 mile run with an average pace of 9min/mile even. Last January, I was running 13 min/mi!",achievement
"Going to the beach with my children, laying under the umbrella with good snacks, cold drink, good music and the laughter of them playing in the water.",affection
"My happiest moment in my life for my 28th birthday my dddy presented me a new smart phone surprisingly date day i was so exited....i can't forget date day in my life, date was my family first surprise given by my daddy..rest surprise given by my daddy",affection
I learned how to study using silhouettes for art.,achievement
I started a meme that caught on.,achievement
I found a pair of shoes I needed for cheaper than I expected.,achievement
I was happy when my grandson woke me up to wish me a happy birthday.,affection
"I was happy when I finally was able to find the shoes in my size, which had been out of stock for so long.",achievement
I celebrated a friend passing a national certification exam for a new profession she wants to start a career in.,bonding
When i share a heart felt moment of joy and laughter with my family and friends.,affection
"I had a really good, but short date with my boyfriend.",affection
Texted my sister who I hadn't contacted in a while.,affection
"Taking a nap this afternoon. I need rest, I usually work long hours as a level 1 med aide so when I can grab rest its greatly appreciated.",leisure
I ATTENDED MY FRIEND SCHOOL ANNUAL DAY FUNCTION ,bonding
I got an 87 on my Biology Midterm exam!,achievement
Went out for a drive to do errands and the sun was shining brightly in a clear blue sky. Flowers are blooming and trees budding. It was SO spring and so beautiful,nature
My panic attack subsided.,achievement
When I went to Ensenada for spring break vacation and to celebrate that I got accepted to the nursing program. ,achievement
My cat cuddled with me.,affection
"Last Thursday, one of my friends dropped off three bags of food that he wouldn't be able to eat due to new dietary restrictions. ",bonding
iam doing my job in a small company after long back in my job i reached my target that was very happiest moment for me.,achievement
Started a new game that I have been waiting a long time to play.,leisure
I was relaxing in bed with my girlfriend.,affection
I happy today that I got to stay at a motel today and stay away from home.,enjoy_the_moment
My son got home from school. ,affection
"I watched my toddler son go into the garbage can and grab an empty chip bag, and shove his arm down in it to get some crumbs.",affection
"Because the weather was nice, I drove with my windows down and my music blasting. ",enjoy_the_moment
I cleaned up some old rusty equipment by soaking them in vinegar and found out it works very well.,achievement
"I was having lunch with my family. Since my childhood we have a pattern in our home, first everybody at our home has lunch while my mother serves and while we are on our last Roti she too joins with her plate.I was little extra hungry. She had just joined with her plate along with my sister. I asked her for Roti. She said ""Wait I am making one for you"" and she left her seat.I held her hand and said, ""Mumma! I am in some cooking mood. You have food, I will make a roti for me"". She said, ""Why will you work in kitchen while I am here?""I said, ""I want to make a roti"" and I left my seat. Sister popped up saying, ""Have this roti from mummy's plate, complete your lunch and then make a roti for mumma.""I said, ""Well! You are falling for a dangerous act.Hahahahah."" I completed my lunch and started with roti, This was it! Previously I have cooked many times, but only for me. This was the first time I cooked for mother.I made a roti and served it to mother. She made 3 parts of it, one for my sister, one for my father and one for herself. They all had their parts and I was observing them with suspense about comments.Sister chuckled, Your wife is lucky, you can feed her deliciously. Father giggled, Your Gf must have said you to learn cooking this morning.Mother was little emotional, she said, My son has grown up. Roti is sweet! She was happy. Everyone was happy.It made me happy.",affection
I found a tool that I had been looking to purchase for several weeks.,achievement
"I earned $100 on MTurk for the month, a new record for me.",achievement
I was able to talk to a couple of neighbors and they were pleasant,bonding
I spent the morning with friends at the park.,bonding
My boyfriend told me that he loved me for the first time about a month ago.,affection
I made my family their favorite dinner last night and they were all happy and thanked me and that made me feel happy as well. ,affection
A close friend of mine is coming to my place after almost 3 years. So excited to see her.,bonding
I reached a new level of working online and I almost make enough to not worry about trying to find work outside the home while my youngest is still in half day school.,achievement
I was happy when my parents came over my house to play with my baby.  My baby's smiles and giggles made my day.,affection
"I played Stardew Valley for almost an hour this morning, and now I am going to play some more",leisure
"I recently became friends with a really great group of people. Yesterday we ordered pizza, Chinese, and taco bell. Then we sat around talking and eating. Good times.",bonding
My first real Valentine's Day with my girlfriend made me happy.,affection
My mom is still with me and she is staying with me for a long time!,affection
I had an awesome Sunday that I spent with one of my nieces who lives in Boston.  We did our own mini bar crawl and had a great day and night.  It was really nice to spend time with her.,affection
I was happy when I baked a carrot cake last week for my girlfriend.,affection
"Last Sunday I went with my family (wife, daughter and dog) to an outdoor event on a public park near home. 
In the event we met with several friends that we had not seen in a while. We ate organic and homemade food in stands that were placed temporarily at the park.",affection
I figured out I was going on vacation. :),enjoy_the_moment
I had time to read this morning.,leisure
I managed to work on my web design project after putting it off for a while.,achievement
"The last show before WrestleMania, Goldberg appeared and got the better of his upcoming opponent Brock Lesnar.  A great result.",achievement
My son has a job interview.,affection
I made a good investment in the stock markets.,achievement
I won the lucky draw at work for a Starbucks gift card. I usually don't win drawings...it made me very happy.,achievement
"The guy I have been talking to and seeing, and subsequently going on a date with tonight, checked in on me both last night and this morning when he was worried I was too drunk and dehydrated.  Simple words like ""Be safe, let me know when you're home"", had me glowing with happiness that somebody cared enough to check in on me.",affection
I finished reading a book that had a happy ending.,leisure
I finished a chapter to a story and submitted it to a website.,achievement
Today is our 25th wedding Anniversary.To our surprise my kids gave a surprise party and presented a car which was my life dream. This happiness is ever ending and we are enjoying my wedding day with it.,affection
I WENT TO MOVIE,leisure
I got a certain medication that I needed.,achievement
"yesterday i bought a new mobile long time i was waiting for this mobile, i was so happy it was so nice that was a happiest moment in my life.",enjoy_the_moment
I am happy that I found a nice pair of goggles today. Now I can start grinding off the old paint on my iron fence and repaint it.,achievement
my first kiss and first love sharing.,affection
"I had a midterm exam a week ago, and just got my results back, and ended up with a pretty good score.",achievement
I went to temple.,leisure
My husband and kids and I took an impromptu trip to Tennessee to see my inlaws. ,affection
A big event that made me happy was my fiance coming home from working out of state for over 3 months. ,affection
